,fills,stake,pnl,avg_fill,markets,med_price
DEEDDIT,8594.0,34346017.54380054,8047077.15836646,3996.511233860896,17.0,0.5122639130901414
asparagus2012,3543.0,1405316.9374372072,3561140.623538793,396.64604500062296,16.0,0.358612851152327
Sparkling8899,31610.0,20310190.741406757,-36070.05562475603,642.5242246569679,39.0,0.5347166873644594
Allezpapa,57355.0,18521516.3477544,4267198.6029646,322.92766712151337,156.0,0.5160328895706259
Jsram,25003.0,19478743.755542055,1929933.583576947,779.0562634700658,174.0,0.5572991302284777
