prefix,n,stake,avg_price,win_rate,edge_cents,roi,implied_pnl
fifwc,742249,450773293.16874117,0.7369592717982179,0.7514819541336477,1.452268233542986,0.019706221077853803,8883038.171175418
epl,283416,57393357.5363693,0.6111047739164449,0.6308926793968459,1.9787905480400991,0.0323805447527179,1858428.1822151453
lal,220028,38656173.93499296,0.6065593783377682,0.6249580547318536,1.8398676394085434,0.03033285289315879,1172552.0373825007
nba,436525,39531685.014583044,0.593963189492741,0.6042559486708281,1.029275917808714,0.017328951288845706,685042.6439837014
fl1,103561,15682871.889640063,0.6141897056802147,0.6362895559806357,2.2099850300421053,0.03598212424603475,564303.0448676746
uel,81998,13456770.68545254,0.6290643231288318,0.6499714222148286,2.090709908599686,0.03323523257845773,447238.9034859872
wta,192229,31419334.922722723,0.720441356454786,0.7299182257819826,0.9476869327196602,0.01315425501644052,413297.9440204502
cbb,176920,5977059.359488574,0.604381608944719,0.6245895726411366,2.020796369641753,0.03343576872185383,199847.57438065176
fif,110890,8029590.948841971,0.6813434446425994,0.697588228326769,1.6244783684169595,0.023842283670448827,191443.78515995864
acn,40763,4221332.279291504,0.6565752640848618,0.6853584377675299,2.878317368266814,0.04383834612287174,185056.22555923203
bra,94123,5999444.288413024,0.6742324842064603,0.6920621389465825,1.7829654740122214,0.026444372168016983,158651.53756407782
sea,171983,30929884.679061852,0.6311612291671036,0.6343689956915464,0.3207766524442768,0.005082325048190617,157195.72764204326
spl,81044,4328681.983191548,0.6383260345858113,0.659056418294984,2.0730383709172684,0.032476168268186,140579.0044655938
lib,39002,2380880.1777717657,0.7173719398659555,0.7566134042493726,3.9241464383417135,0.05470169963819549,130238.1923590046
bl2,58856,3489163.301854054,0.6536719386470587,0.6780501081122113,2.437816946515259,0.0372941961002784,130125.54040523995
arg,72337,4919080.410321494,0.6870889101099648,0.703470399053042,1.6381488943077227,0.023841876505408033,117280.10766305693
mex,89502,5049864.88324026,0.6733333026240821,0.6871339684675599,1.3800665843477833,0.020496039316181935,103502.22918829886
es2,86758,4161324.2125122338,0.6807676626545137,0.6972206363972968,1.6452973742783095,0.024168265687926738,100571.98918159817
col,40353,3184350.97258825,0.6859568543583785,0.7065514351292671,2.0594580770888604,0.03002314305927034,95604.22480094367
wnba,52980,2629335.261516095,0.6054194060056365,0.6215738995147578,1.6154493509121348,0.02668314452571563,70158.93278959427
uef,31295,5165045.486367287,0.6829552479557202,0.6899625915865825,0.7007343630862306,0.010260326210007609,52995.051579655774
aus,47800,3572356.7590947743,0.5873115116961046,0.5945930948545447,0.7281583158440075,0.012398161816054909,44290.6571639345
j1100,55183,2669799.326488918,0.6507844499499558,0.6610832608631054,1.0298810913149659,0.015825225870012227,42250.17736929365
efa,35780,4180295.1928034993,0.6261891432858957,0.6317977135149667,0.5608570229071019,0.008956671141949757,37441.529318214394
nhl,83137,5467621.3028041925,0.6028844790051577,0.6055155946488687,0.26311156437109906,0.004364211943310714,23861.858191198142
itsb,63271,2788867.409664018,0.6620896513205999,0.6674359169348238,0.5346265614223911,0.008074836396491536,22519.648064544082
nfl,8629,2064830.6710305093,0.6027975548488961,0.6093528334846506,0.6555278635754558,0.010874759831097425,22454.537639340524
mls,70298,4316179.804343988,0.5971604718895701,0.596925839226824,-0.023463266274614814,-0.0003929139214517985,-1695.8871326158528
chi,75937,4751502.197419592,0.6849485793050717,0.6846323660007291,-0.03162133043426163,-0.00046165991710422905,-2193.578110581291
ere,66142,4289213.737904325,0.6510214552060163,0.6501253377101505,-0.08961174958658225,-0.0013764792061764508,-5904.013521071673
atp,348339,47782589.92521573,0.7054263679419818,0.7050903436896997,-0.033602425228207444,-0.00047634206425029024,-22760.857520202382
mlb,203317,17496219.693854276,0.5762904865704207,0.5748536748672566,-0.14368117031641203,-0.002493207395656949,-43621.70433675624
por,60549,4160866.5219296147,0.6819495995482346,0.6668778311316218,-1.507176841661284,-0.02210100046483976,-91959.3129353026
tur,71490,4887912.544877078,0.6644848493417306,0.6490794269359647,-1.5405422405765923,-0.023184008515810817,-113321.4060649687
elc,99606,8270868.956213561,0.6550199076816792,0.6393187409884337,-1.5701166693245505,-0.023970518314194278,-198257.01578921807
bun,138523,19843399.56109435,0.6120026019827132,0.6034653101616175,-0.8537291821095638,-0.01394976392818803,-276810.7394099762
ucl,170922,34464420.99334549,0.6257185174761037,0.6186181410221776,-0.7100376453926138,-0.011347556857620567,-391086.97678695986
