szb,stake,pnl,roi
"(0, 10]",8641321.944466652,242361.56630534804,0.028046815969001226
"(10, 50]",33345600.517814986,779895.226728015,0.0233882495626778
"(50, 250]",109569715.60480708,2745098.4839469288,0.025053441717854518
"(250, 1000]",199590730.48079547,4929808.849037542,0.024699588188099177
"(1000, 5000]",299191767.73921,8550282.053382017,0.028577932200443613
"(5000, 10000]",111749058.50399472,3483393.95280428,0.031171573160768584
"(10000, 50000]",151715535.93681866,1717529.2099973466,0.011320720711902602
"(50000, 400000]",21453600.81936422,-994958.374507219,-0.0463772204435332
