month,stake,pnl,roi
2025-08,668915.3580592105,-69200.44665321049,-0.10345172347961708
2025-09,4479633.517013972,-22539.274595971554,-0.00503149967745481
2025-10,19063735.03352048,100187.72789952254,0.005255409169470657
2025-11,29185285.976066984,1768280.0198540173,0.060588065551390256
2025-12,39039792.12897775,1359637.5855982436,0.034826967856446046
2026-01,67355444.7174893,634423.1594776915,0.00941903304385665
2026-02,65418486.29542475,748386.4927902472,0.01143998486009891
2026-03,81777101.16803673,996379.9311012719,0.01218409453098486
2026-04,51457259.04189418,1221109.376001818,0.02373055616910426
2026-05,67223707.11508247,2244642.345780533,0.03339063616259448
2026-06,268435880.43559694,3841469.8086210648,0.014310567582796403
2026-07,241152090.76010898,8630634.24181903,0.03578917443599745
